id(u1),id(u2)
0,29106
0,29106
1,10314
3,4645
3,10933
6,25481
7,7887
8,20157
8,20157
11,18870
11,2478
11,33371
11,10377
11,23509
12,12874
12,12874
13,13776
14,2265
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,30657
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,10934
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
15,15781
16,13502
17,304
17,304
17,304
18,8039
18,8039
21,9806
23,7046
23,7820
23,28651
23,28651
23,28651
24,4718
24,25646
24,25654
24,28546
24,29775
24,25654
24,31153
24,25646
24,25654
25,3023
27,8488
28,13535
29,31951
29,15895
29,31951
29,31951
29,31951
29,31951
29,31951
31,7770
31,7770
31,7770
33,25657
34,8880
34,8880
34,8880
34,8880
34,8880
34,8880
34,8880
34,8880
34,8880
34,8880
34,10419
34,8880
34,8880
34,8880
34,302
34,8880
34,8880
34,8880
34,8880
34,12396
34,10419
34,302
34,10419
34,8880
34,8880
34,302
34,8880
34,10419
34,302
34,10419
34,8880
34,8880
34,10419
34,8880
34,8880
34,27985
34,8880
34,302
34,10419
34,302
34,8880
34,10419
34,8880
34,8880
34,302
34,8880
34,8880
34,8880
34,8880
34,302
34,8880
34,8880
34,8880
34,302
34,10419
34,8880
35,29270
35,29270
35,29270
35,29270
35,29270
35,29270
35,29270
36,27952
38,29263
38,25358
38,33669
38,33669
38,33669
38,33669
38,33669
38,29263
38,25358
38,33669
38,33669
38,33669
39,12478
40,5920
41,16486
41,29921
41,16486
41,29921
43,17911
43,17911
43,17911
43,17911
43,17911
43,25527
43,33015
43,25527
43,17911
43,26178
43,17911
43,17911
43,17911
43,17911
43,17911
43,17911
43,17911
44,13331
44,26563
44,14267
46,30246
49,3358
50,3466
51,23534
51,10284
51,22420
51,26641
51,12150
51,26641
51,11627
51,26641
51,29072
51,8557
51,30294
51,12150
51,12150
51,26641
51,28385
51,30294
51,10284
51,8557
51,8557
51,26223
51,26167
51,12150
51,27228
51,9421
51,26167
51,30294
51,11627
52,29377
52,29377
52,29377
52,29377
52,16881
52,29377
52,29377
52,29377
52,29377
52,29377
52,29377
52,29377
52,29377
52,29377
52,16881
53,25689
53,25689
53,22453
53,25689
53,25689
53,25689
53,25689
55,9012
55,28240
55,9012
55,9012
55,9012
55,9012
56,14036
58,30301
58,30301
59,30260
60,11665
60,11665
60,11665
61,29276
61,13881
61,26167
61,29276
61,26641
61,8557
61,29276
61,13881
61,10284
61,29276
61,26641
61,16340
61,9421
61,28385
61,22420
61,13947
64,373
68,24322
69,13655
70,5135
70,5135
73,31668
74,2416
74,1702
74,947
76,29106
79,20559
83,21132
84,28078
84,28078
84,321
84,13094
84,11416
84,10932
84,10932
84,28078
84,28078
84,13094
84,13094
84,28078
84,28078
84,28078
84,28078
84,13132
84,11416
84,11416
84,11416
84,9789
84,13094
84,28078
84,13094
84,11416
84,28078
84,5554
84,28078
84,10932
84,28078
84,11894
84,11416
84,13094
84,9246
84,13094
84,11416
84,11416
84,321
84,28078
84,13094
84,28078
84,10932
84,28078
84,13094
84,28078
84,28078
84,28078
84,13228
84,13132
84,10932
84,9789
84,28078
84,12172
84,28078
84,11416
84,13094
84,28078
84,11416
84,9789
84,13094
84,9789
84,28078
84,9789
84,11416
84,11416
84,11416
84,11416
84,13094
84,28078
84,11416
84,28078
84,28078
84,9789
84,11416
84,9789
84,28078
84,11416
84,13094
84,11416
84,28078
84,13094
84,7872
84,28078
84,28078
84,13094
84,13094
84,13094
84,28078
84,11416
84,29287
84,7872
85,18995
85,18995
85,18815
85,18815
85,18815
85,18815
85,18815
87,13189
93,4050
93,4050
93,4050
93,4050
93,4050
93,4050
93,4050
93,4050
98,6765
99,30697
100,15558
101,8346
103,11846
103,11846
